code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
US.LIST20758,Financials,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100756,False,N/A,False,,US_NYSE
US.LIST20759,Healthcare,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100757,False,N/A,False,,US_NYSE
US.LIST20760,Industrials,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100758,False,N/A,False,,US_NYSE
US.LIST20761,Materials,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100759,False,N/A,False,,US_NYSE
US.LIST20762,Real Estate,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100760,False,N/A,False,,US_NYSE
US.LIST20763,Technology,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100761,False,N/A,False,,US_NYSE
US.LIST20764,Telecom,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100762,False,N/A,False,,US_NYSE
US.LIST20765,Utilities,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100763,False,N/A,False,,US_NYSE
US.LIST20766,Africa,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100764,False,N/A,False,,US_NYSE
US.LIST20767,Broad Asia,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100765,False,N/A,False,,US_NYSE
US.LIST20768,Developed Asia Pacific,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100766,False,N/A,False,,US_NYSE
US.LIST20769,Developed Europe,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100767,False,N/A,False,,US_NYSE
US.LIST20770,Emerging Asia Pacific,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100768,False,N/A,False,,US_NYSE
US.LIST20771,Emerging Europe,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100769,False,N/A,False,,US_NYSE
US.LIST20772,Emerging Markets,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100770,False,N/A,False,,US_NYSE
US.LIST20773,Frontier Markets,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100771,False,N/A,False,,US_NYSE
US.LIST20774,Global ex-U.S.,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100772,False,N/A,False,,US_NYSE
US.LIST20775,Global,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100773,False,N/A,False,,US_NYSE
US.LIST20776,Latin America,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100774,False,N/A,False,,US_NYSE
US.LIST20777,Middle East,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100775,False,N/A,False,,US_NYSE
US.LIST20778,North America,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100776,False,N/A,False,,US_NYSE
US.LIST20779,Developed Markets,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100777,False,N/A,False,,US_NYSE
US.LIST20780,Currency,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100778,False,N/A,False,,US_NYSE
US.LIST20782,Dow Jones,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100780,False,N/A,False,,US_NYSE
US.LIST20783,Russell 2000,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100781,False,N/A,False,,US_NYSE
US.LIST20784,S&P 400,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100782,False,N/A,False,,US_NYSE
US.LIST2080,Department Stores,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002080,False,N/A,False,,US_NYSE
US.LIST2083,Paper & Paper Products,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002083,False,N/A,False,,US_NYSE
US.LIST2088,Telecom Services,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002088,False,N/A,False,,US_NYSE
