code,is_long_permit,is_short_permit,short_pool_remain,short_fee_rate,alert_long_ratio,alert_short_ratio,im_long_ratio,im_short_ratio,mcm_long_ratio,mcm_short_ratio,mm_long_ratio,mm_short_ratio
US.DCOMG,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DDIAD,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DEVS,False,False,0.0,0.0,100.0,165.57,100.0,165.57,100.0,165.57,100.0,165.57
US.DBRG.PRJ,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DCSX,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DEH.U,False,False,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
US.DELHY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DENI,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DENN,True,False,0.0,0.0,80.0,197.0,80.0,200.0,80.0,195.0,70.0,185.0
US.DFDV,False,False,0.0,0.0,100.0,98.82,100.0,98.82,100.0,98.82,100.0,98.82
US.DBOEY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DCYHY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DFIN,True,True,89800.0,3.0,78.0,197.0,80.0,200.0,76.7,195.0,70.0,185.0
US.DAY,True,True,878100.0,3.0,53.0,67.0,55.00000000000001,70.0,51.7,65.0,45.0,55.00000000000001
US.DEVOY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DFEL,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DAVE,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DB,True,True,570200.0,3.0,70.0,70.0,70.0,70.0,70.0,70.0,60.0,60.0
US.DCFBS,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DCP.PRB,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DDC,False,False,0.0,0.0,100.0,160.0,100.0,160.0,100.0,160.0,100.0,150.0
US.DCOMP,False,False,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
US.DD,True,True,2410600.0,3.0,47.0,56.99999999999999,50.0,60.0,45.0,55.00000000000001,35.0,45.0
US.DDI,False,False,0.0,0.0,100.0,59.594,100.0,60.0,100.0,59.419999999999995,100.0,57.68
US.DEFT,False,False,0.0,0.0,100.0,309.41,100.0,309.41,100.0,309.41,100.0,309.41
US.DBRG.PRI,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DECAU,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DCIIY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DCRBU,False,False,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
US.DELKY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DASTY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DBIN,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DCFCQ,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DDT,False,False,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
US.DEVSF,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DCX,False,False,0.0,0.0,100.0,670.25,100.0,670.25,100.0,670.25,100.0,670.25
US.DDD,True,True,778800.0,3.0,85.0,147.0,85.0,150.0,85.0,145.0,75.0,135.0
US.DCUE,False,False,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
US.DFIHY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DG,True,True,908200.0,3.0,60.0,56.99999999999999,60.0,60.0,60.0,55.00000000000001,50.0,45.0
US.DGDCF,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DBI,False,False,0.0,0.0,100.0,217.0,100.0,220.00000000000003,100.0,215.0,100.0,204.99999999999997
US.DBX,True,True,887400.0,3.0,48.0,67.0,50.0,70.0,46.7,65.0,40.0,55.00000000000001
US.DCO,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DEFG,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DGLT,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DIN,True,True,99200.0,3.0,90.0,206.99999999999997,90.0,210.0,90.0,204.99999999999997,80.0,195.0
US.DK,True,True,303200.0,3.0,67.0,197.0,70.0,200.0,65.0,195.0,55.00000000000001,185.0
US.DKL,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DLICY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DM,False,False,0.0,0.0,100.0,147.0,100.0,150.0,100.0,145.0,100.0,135.0
US.DHCNI,False,False,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
US.DLPN,False,False,0.0,0.0,100.0,170.07000000000002,100.0,170.07000000000002,100.0,170.07000000000002,100.0,170.07000000000002
US.DMIIR,False,False,0.0,0.0,100.0,1785.7199999999998,100.0,1785.7199999999998,100.0,1785.7199999999998,100.0,1785.7199999999998
US.DGTHD,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DHX,False,False,0.0,0.0,100.0,156.25,100.0,156.25,100.0,156.25,100.0,156.25
US.DLTR,True,True,538800.0,3.0,47.0,56.99999999999999,50.0,60.0,45.0,55.00000000000001,35.0,45.0
US.DIOD,True,True,179300.0,3.0,65.0,88.0,65.0,90.0,65.0,86.7,55.00000000000001,80.0
US.DKKHY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DKSC,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DLNG.PRA,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DLPX,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DMFG,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DMYQ.U,False,False,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
US.DKMR,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DLEXY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DMAC,False,False,0.0,0.0,100.0,62.12,100.0,62.12,100.0,62.12,100.0,62.12
US.DHTI,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DNA,True,True,94600.0,3.0,90.0,108.0,90.0,110.00000000000001,90.0,106.69999999999999,80.0,100.0
US.DLHC,False,False,0.0,0.0,100.0,90.58,100.0,90.58,100.0,90.58,100.0,90.58
US.DHCNL,False,False,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
US.DINO,True,True,879000.0,3.0,50.0,68.0,50.0,70.0,50.0,66.7,40.0,60.0
US.DLAKY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DLELY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DIMC,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DJT,True,True,1135300.0,3.0,95.0,130.0,95.0,130.0,95.0,130.0,85.0,120.0
US.DLB,True,True,491600.0,3.0,67.0,68.0,70.0,70.0,65.0,66.7,55.00000000000001,60.0
US.DNCUD,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DMLP,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DMAN,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DMKPQ,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DIDIY,False,True,31045900.0,15.9,100.0,70.0,100.0,70.0,100.0,70.0,100.0,60.0
